t 	 Richness 	 Shannon Index 	 Evenness 
1 	 1 	 0.000000 	 nan 
2 	 2 	 0.000005 	 0.000007 
3 	 3 	 0.000007 	 0.000007 
4 	 4 	 0.000009 	 0.000006 
5 	 7 	 0.000010 	 0.000005 
6 	 19 	 0.000013 	 0.000005 
7 	 28 	 0.000015 	 0.000004 
8 	 32 	 0.000015 	 0.000004 
9 	 38 	 0.000016 	 0.000004 
10 	 30 	 0.000015 	 0.000004 
11 	 25 	 0.000014 	 0.000004 
12 	 25 	 0.000014 	 0.000004 
13 	 22 	 0.000014 	 0.000004 
14 	 20 	 0.000014 	 0.000005 
15 	 19 	 0.000013 	 0.000005 
16 	 18 	 0.000013 	 0.000005 
17 	 16 	 0.000013 	 0.000005 
18 	 14 	 0.000012 	 0.000005 
19 	 14 	 0.000012 	 0.000005 
20 	 13 	 0.000012 	 0.000005 
21 	 11 	 0.000012 	 0.000005 
22 	 10 	 0.000012 	 0.000005 
23 	 9 	 0.000013 	 0.000006 
24 	 8 	 0.000014 	 0.000007 
25 	 8 	 0.000015 	 0.000007 
26 	 8 	 0.000017 	 0.000008 
27 	 8 	 0.000020 	 0.000010 
28 	 7 	 0.000023 	 0.000012 
29 	 7 	 0.000037 	 0.000019 
30 	 7 	 0.000049 	 0.000025 
31 	 6 	 0.000065 	 0.000036 
32 	 6 	 0.000090 	 0.000050 
33 	 6 	 0.000126 	 0.000070 
34 	 6 	 0.000178 	 0.000099 
35 	 6 	 0.000195 	 0.000109 
36 	 6 	 0.000263 	 0.000147 
37 	 5 	 0.000374 	 0.000233 
38 	 5 	 0.000600 	 0.000373 
39 	 5 	 0.000865 	 0.000538 
40 	 5 	 0.001139 	 0.000708 
41 	 5 	 0.001644 	 0.001021 
42 	 5 	 0.002373 	 0.001474 
43 	 5 	 0.003424 	 0.002128 
44 	 4 	 0.004934 	 0.003559 
45 	 4 	 0.007110 	 0.005129 
46 	 4 	 0.010232 	 0.007381 
47 	 4 	 0.014693 	 0.010599 
48 	 4 	 0.021046 	 0.015182 
49 	 4 	 0.030050 	 0.021676 
50 	 4 	 0.042733 	 0.030825 
51 	 4 	 0.060461 	 0.043614 
52 	 4 	 0.084999 	 0.061314 
53 	 4 	 0.118517 	 0.085492 
54 	 4 	 0.163505 	 0.117944 
55 	 4 	 0.222463 	 0.160473 
56 	 4 	 0.297223 	 0.214401 
57 	 4 	 0.387747 	 0.279700 
58 	 4 	 0.490420 	 0.353763 
59 	 4 	 0.596371 	 0.430191 
60 	 4 	 0.691149 	 0.498559 
61 	 4 	 0.757498 	 0.546419 
62 	 4 	 0.781460 	 0.563704 
63 	 4 	 0.732654 	 0.528498 
64 	 4 	 0.656989 	 0.473917 
65 	 4 	 0.565383 	 0.407838 
66 	 4 	 0.472413 	 0.340774 
67 	 4 	 0.387710 	 0.279674 
68 	 4 	 0.315865 	 0.227849 
69 	 4 	 0.257876 	 0.186018 
70 	 4 	 0.212734 	 0.153455 
71 	 4 	 0.178615 	 0.128843 
72 	 4 	 0.153589 	 0.110791 
73 	 5 	 0.142455 	 0.088512 
74 	 5 	 0.128077 	 0.079579 
75 	 5 	 0.119933 	 0.074519 
76 	 7 	 0.116598 	 0.059919 
77 	 7 	 0.118973 	 0.061140 
78 	 7 	 0.124833 	 0.064152 
79 	 7 	 0.136790 	 0.070296 
80 	 8 	 0.172349 	 0.082882 
81 	 8 	 0.190124 	 0.091430 
82 	 8 	 0.228986 	 0.110119 
83 	 8 	 0.260996 	 0.125513 
84 	 8 	 0.321250 	 0.154489 
85 	 8 	 0.446564 	 0.214752 
86 	 7 	 0.545037 	 0.280094 
87 	 7 	 0.653877 	 0.336026 
88 	 7 	 0.765876 	 0.393582 
89 	 7 	 0.821096 	 0.421960 
90 	 7 	 0.919634 	 0.472598 
91 	 7 	 0.998299 	 0.513024 
92 	 8 	 1.059086 	 0.509313 
93 	 9 	 1.085791 	 0.494165 
94 	 10 	 1.096816 	 0.476341 
95 	 13 	 1.094976 	 0.426900 
96 	 13 	 1.086285 	 0.423511 
97 	 13 	 1.076605 	 0.419737 
98 	 14 	 1.059505 	 0.401471 
99 	 16 	 1.051561 	 0.379270 
100 	 16 	 1.041640 	 0.375692 
101 	 16 	 1.029483 	 0.371308 
102 	 13 	 1.026714 	 0.400286 
103 	 14 	 1.020115 	 0.386545 
104 	 14 	 1.017498 	 0.385553 
105 	 12 	 1.013693 	 0.407940 
106 	 11 	 1.010678 	 0.421486 
107 	 11 	 1.008311 	 0.420498 
108 	 10 	 1.006473 	 0.437106 
109 	 10 	 1.004844 	 0.436398 
110 	 10 	 1.003927 	 0.436000 
111 	 10 	 1.003255 	 0.435708 
112 	 10 	 1.002881 	 0.435546 
113 	 9 	 1.002825 	 0.456405 
114 	 8 	 1.003636 	 0.482647 
115 	 8 	 1.005068 	 0.483336 
116 	 8 	 1.007764 	 0.484632 
117 	 8 	 1.012643 	 0.486978 
118 	 8 	 1.021274 	 0.491129 
119 	 8 	 1.036224 	 0.498318 
120 	 8 	 1.061354 	 0.510403 
121 	 8 	 1.101603 	 0.529759 
122 	 8 	 1.160939 	 0.558294 
123 	 8 	 1.235876 	 0.594331 
124 	 8 	 1.302747 	 0.626489 
125 	 8 	 1.315403 	 0.632575 
126 	 9 	 1.163017 	 0.529312 
127 	 9 	 0.920494 	 0.418935 
128 	 9 	 0.652816 	 0.297109 
129 	 9 	 0.431017 	 0.196164 
130 	 10 	 0.327058 	 0.142039 
131 	 11 	 0.258331 	 0.107732 
132 	 13 	 0.166972 	 0.065097 
133 	 15 	 0.114606 	 0.042321 
134 	 15 	 0.086245 	 0.031848 
135 	 15 	 0.070413 	 0.026001 
136 	 17 	 0.061162 	 0.021588 
137 	 17 	 0.056353 	 0.019890 
138 	 17 	 0.053896 	 0.019023 
139 	 15 	 0.052325 	 0.019322 
140 	 15 	 0.052131 	 0.019250 
141 	 15 	 0.052227 	 0.019286 
142 	 15 	 0.053132 	 0.019620 
143 	 15 	 0.055505 	 0.020496 
144 	 15 	 0.060738 	 0.022429 
145 	 15 	 0.071723 	 0.026485 
146 	 15 	 0.094892 	 0.035041 
147 	 15 	 0.139566 	 0.051537 
148 	 14 	 0.221920 	 0.084091 
149 	 15 	 0.417328 	 0.154106 
150 	 15 	 0.599085 	 0.221224 
151 	 16 	 0.713657 	 0.257397 
152 	 18 	 0.650901 	 0.225196 
153 	 20 	 0.536269 	 0.179011 
154 	 20 	 0.449426 	 0.150022 
155 	 23 	 0.301690 	 0.096218 
156 	 23 	 0.255882 	 0.081608 
157 	 25 	 0.230709 	 0.071674 
158 	 29 	 0.207247 	 0.061547 
159 	 23 	 0.199705 	 0.063692 
160 	 23 	 0.197365 	 0.062945 
161 	 23 	 0.197224 	 0.062900 
162 	 23 	 0.196207 	 0.062576 
163 	 23 	 0.196369 	 0.062628 
164 	 22 	 0.198657 	 0.064269 
165 	 21 	 0.199833 	 0.065637 
166 	 21 	 0.203918 	 0.066979 
167 	 21 	 0.210954 	 0.069290 
168 	 20 	 0.218080 	 0.072797 
169 	 20 	 0.234734 	 0.078356 
170 	 18 	 0.285660 	 0.098831 
171 	 17 	 0.344013 	 0.121421 
172 	 17 	 0.444064 	 0.156735 
173 	 17 	 0.518617 	 0.183049 
174 	 17 	 0.681896 	 0.240679 
175 	 15 	 1.000590 	 0.369487 
176 	 15 	 1.192972 	 0.440528 
177 	 16 	 1.236241 	 0.445880 
178 	 18 	 1.328301 	 0.459561 
179 	 18 	 1.339400 	 0.463401 
180 	 17 	 1.315503 	 0.464315 
181 	 19 	 1.279679 	 0.434609 
182 	 21 	 1.270202 	 0.417209 
183 	 23 	 1.297075 	 0.413675 
184 	 24 	 1.342037 	 0.422283 
185 	 27 	 1.391673 	 0.422252 
186 	 29 	 1.402624 	 0.416543 
187 	 38 	 1.396526 	 0.383916 
188 	 39 	 1.371686 	 0.374413 
189 	 39 	 1.361285 	 0.371574 
190 	 36 	 1.360535 	 0.379665 
191 	 32 	 1.414564 	 0.408157 
192 	 33 	 1.429487 	 0.408833 
193 	 34 	 1.560513 	 0.442528 
194 	 41 	 1.643060 	 0.442447 
195 	 49 	 1.463715 	 0.376100 
196 	 68 	 1.189649 	 0.281940 
197 	 73 	 1.058391 	 0.246685 
198 	 75 	 1.033849 	 0.239456 
199 	 77 	 1.045854 	 0.240769 
200 	 71 	 1.120484 	 0.262859 
201 	 70 	 1.153614 	 0.271535 
202 	 71 	 1.292952 	 0.303319 
