t 	 Richness 	 Shannon Index 
1 	 11 	 2.302586 	 0.960253 
2 	 12 	 2.302588 	 0.926629 
3 	 14 	 2.302589 	 0.872504 
4 	 18 	 2.302590 	 0.796641 
5 	 34 	 2.302592 	 0.652966 
6 	 46 	 2.302594 	 0.601413 
7 	 49 	 2.302594 	 0.591650 
8 	 50 	 2.302594 	 0.588594 
9 	 39 	 2.302593 	 0.628512 
10 	 34 	 2.302592 	 0.652966 
11 	 33 	 2.302592 	 0.658541 
12 	 27 	 2.302592 	 0.698636 
13 	 24 	 2.302591 	 0.724529 
14 	 24 	 2.302591 	 0.724529 
15 	 23 	 2.302591 	 0.734363 
16 	 18 	 2.302590 	 0.796641 
17 	 18 	 2.302590 	 0.796641 
18 	 17 	 2.302590 	 0.812713 
19 	 16 	 2.302589 	 0.830484 
20 	 15 	 2.302589 	 0.850276 
21 	 15 	 2.302589 	 0.850276 
22 	 14 	 2.302589 	 0.872504 
23 	 14 	 2.302589 	 0.872504 
24 	 14 	 2.302589 	 0.872504 
25 	 18 	 2.302590 	 0.796642 
26 	 18 	 2.302590 	 0.796642 
27 	 20 	 2.302591 	 0.768624 
28 	 21 	 2.302591 	 0.756306 
29 	 25 	 2.302592 	 0.715340 
30 	 34 	 2.302594 	 0.652966 
31 	 39 	 2.302595 	 0.628513 
32 	 42 	 2.302595 	 0.616051 
33 	 46 	 2.302596 	 0.601413 
34 	 46 	 2.302596 	 0.601413 
35 	 42 	 2.302595 	 0.616051 
36 	 38 	 2.302595 	 0.633001 
37 	 36 	 2.302594 	 0.642551 
38 	 33 	 2.302594 	 0.658541 
39 	 33 	 2.302594 	 0.658541 
40 	 32 	 2.302594 	 0.664388 
41 	 29 	 2.302593 	 0.683811 
42 	 24 	 2.302592 	 0.724529 
43 	 23 	 2.302592 	 0.734363 
44 	 21 	 2.302591 	 0.756306 
45 	 20 	 2.302591 	 0.768624 
46 	 21 	 2.302591 	 0.756306 
47 	 23 	 2.302592 	 0.734363 
48 	 23 	 2.302592 	 0.734363 
49 	 27 	 2.302593 	 0.698637 
50 	 30 	 2.302594 	 0.676995 
51 	 35 	 2.302595 	 0.647643 
52 	 37 	 2.302595 	 0.637676 
53 	 42 	 2.302596 	 0.616051 
54 	 45 	 2.302596 	 0.604886 
55 	 45 	 2.302596 	 0.604886 
56 	 46 	 2.302597 	 0.601413 
57 	 46 	 2.302597 	 0.601413 
58 	 48 	 2.302597 	 0.594802 
59 	 44 	 2.302596 	 0.608478 
60 	 40 	 2.302596 	 0.624199 
61 	 37 	 2.302595 	 0.637676 
62 	 37 	 2.302595 	 0.637676 
63 	 37 	 2.302595 	 0.637676 
64 	 34 	 2.302594 	 0.652966 
65 	 30 	 2.302594 	 0.676995 
66 	 31 	 2.302594 	 0.670531 
67 	 34 	 2.302595 	 0.652966 
68 	 34 	 2.302595 	 0.652966 
69 	 37 	 2.302595 	 0.637676 
70 	 39 	 2.302596 	 0.628513 
71 	 40 	 2.302596 	 0.624199 
72 	 42 	 2.302596 	 0.616051 
73 	 45 	 2.302597 	 0.604886 
74 	 48 	 2.302597 	 0.594802 
75 	 50 	 2.302598 	 0.588595 
76 	 51 	 2.302598 	 0.585631 
77 	 52 	 2.302598 	 0.582753 
78 	 52 	 2.302598 	 0.582753 
79 	 54 	 2.302599 	 0.577239 
80 	 55 	 2.302599 	 0.574596 
81 	 54 	 2.302599 	 0.577239 
82 	 48 	 2.302598 	 0.594802 
83 	 45 	 2.302597 	 0.604886 
84 	 43 	 2.302597 	 0.612197 
85 	 41 	 2.302596 	 0.620049 
86 	 41 	 2.302596 	 0.620049 
87 	 41 	 2.302596 	 0.620049 
88 	 41 	 2.302596 	 0.620049 
89 	 43 	 2.302597 	 0.612197 
90 	 44 	 2.302597 	 0.608478 
91 	 44 	 2.302597 	 0.608478 
92 	 44 	 2.302597 	 0.608478 
93 	 47 	 2.302597 	 0.598054 
94 	 49 	 2.302598 	 0.591651 
95 	 49 	 2.302598 	 0.591651 
96 	 49 	 2.302598 	 0.591651 
97 	 50 	 2.302598 	 0.588595 
98 	 50 	 2.302598 	 0.588595 
99 	 53 	 2.302599 	 0.579957 
100 	 54 	 2.302599 	 0.577239 
101 	 55 	 2.302599 	 0.574596 
102 	 55 	 2.302599 	 0.574596 
103 	 54 	 2.302599 	 0.577239 
104 	 52 	 2.302598 	 0.582753 
105 	 50 	 2.302598 	 0.588595 
106 	 50 	 2.302598 	 0.588595 
107 	 50 	 2.302598 	 0.588595 
108 	 50 	 2.302598 	 0.588595 
109 	 51 	 2.302598 	 0.585631 
110 	 53 	 2.302599 	 0.579957 
111 	 54 	 2.302599 	 0.577239 
112 	 55 	 2.302599 	 0.574596 
113 	 56 	 2.302599 	 0.572024 
114 	 56 	 2.302599 	 0.572024 
115 	 56 	 2.302599 	 0.572024 
116 	 57 	 2.302599 	 0.569520 
117 	 59 	 2.302600 	 0.564703 
118 	 59 	 2.302599 	 0.564703 
119 	 59 	 2.302599 	 0.564703 
120 	 59 	 2.302599 	 0.564703 
121 	 61 	 2.302600 	 0.560124 
122 	 62 	 2.302600 	 0.557917 
123 	 64 	 2.302600 	 0.553658 
124 	 66 	 2.302600 	 0.549592 
125 	 67 	 2.302600 	 0.547626 
126 	 67 	 2.302600 	 0.547626 
127 	 69 	 2.302600 	 0.543822 
128 	 70 	 2.302600 	 0.541980 
129 	 71 	 2.302600 	 0.540177 
130 	 73 	 2.302599 	 0.536679 
131 	 73 	 2.302599 	 0.536679 
132 	 74 	 2.302598 	 0.534982 
133 	 74 	 2.302597 	 0.534982 
134 	 76 	 2.302596 	 0.531687 
135 	 78 	 2.302595 	 0.528517 
136 	 80 	 2.302594 	 0.525463 
137 	 82 	 2.302592 	 0.522519 
138 	 83 	 2.302590 	 0.521085 
139 	 83 	 2.302587 	 0.521084 
140 	 85 	 2.302584 	 0.518291 
141 	 86 	 2.302582 	 0.516929 
142 	 86 	 2.302577 	 0.516928 
143 	 86 	 2.302572 	 0.516927 
144 	 88 	 2.302565 	 0.514271 
145 	 90 	 2.302555 	 0.511701 
146 	 91 	 2.302547 	 0.510445 
147 	 92 	 2.302537 	 0.509209 
148 	 94 	 2.302516 	 0.506794 
149 	 95 	 2.302499 	 0.505613 
150 	 96 	 2.302486 	 0.504450 
151 	 97 	 2.302447 	 0.503299 
152 	 98 	 2.302441 	 0.502172 
153 	 101 	 2.302405 	 0.498883 
154 	 103 	 2.302371 	 0.496765 
155 	 103 	 2.302326 	 0.496755 
156 	 103 	 2.302273 	 0.496744 
157 	 105 	 2.302198 	 0.494675 
158 	 108 	 2.302100 	 0.491678 
159 	 110 	 2.302007 	 0.489739 
160 	 110 	 2.301911 	 0.489718 
161 	 113 	 2.301798 	 0.486907 
162 	 114 	 2.301652 	 0.485970 
163 	 115 	 2.301494 	 0.485042 
164 	 116 	 2.301297 	 0.484118 
165 	 114 	 2.301091 	 0.485852 
166 	 114 	 2.300855 	 0.485802 
167 	 115 	 2.300819 	 0.484900 
168 	 117 	 2.300464 	 0.483070 
169 	 118 	 2.299903 	 0.482091 
170 	 119 	 2.299811 	 0.481220 
171 	 120 	 2.299392 	 0.480292 
172 	 121 	 2.298758 	 0.479328 
173 	 123 	 2.298358 	 0.477612 
174 	 125 	 2.297982 	 0.475939 
175 	 127 	 2.297371 	 0.474253 
