timesOfRecord time label Pdensity
1 1 1 173669
2 2 1 455128
3 2.34402 1 686955
4 3.02983 1 1.58858e+06
4 3.02983 2 0.205078
4 3.02983 3 0.170286
4 3.02983 4 0.157637
4 3.02983 5 0.11
5 4.17458 1 5.91988e+06
5 4.17458 2 0.764227
5 4.17458 3 0.634576
5 4.17458 4 0.587439
5 4.17458 5 0.409917
5 4.17458 6 0.251432
5 4.17458 7 0.249669
5 4.17458 8 0.247763
5 4.17458 9 0.20385
5 4.17458 10 0.186399
5 4.17458 11 0.168237
5 4.17458 12 0.161726
5 4.17458 13 0.158427
5 4.17458 14 0.152865
5 4.17458 15 0.11
6 5.04527 1 1.22743e+07
6 5.04527 2 1.58455
6 5.04527 3 1.31573
6 5.04527 4 1.218
6 5.04527 5 0.849924
6 5.04527 6 0.521319
6 5.04527 7 0.517663
6 5.04527 8 0.513711
6 5.04527 9 0.422662
6 5.04527 10 0.386481
6 5.04527 11 0.348823
6 5.04527 12 0.335322
6 5.04527 13 0.328483
6 5.04527 14 0.316951
6 5.04527 15 0.228074
6 5.04527 16 0.220731
6 5.04527 17 0.200463
6 5.04527 18 0.175339
6 5.04527 19 0.165079
6 5.04527 20 0.15876
6 5.04527 21 0.153615
6 5.04527 22 0.142455
6 5.04527 23 0.139798
6 5.04527 24 0.126177
6 5.04527 25 0.11
7 6.14459 1 1.87448e+07
7 6.14459 2 2.41986
7 6.14459 3 2.00933
7 6.14459 4 1.86008
7 6.14459 5 1.29797
7 6.14459 6 0.796137
7 6.14459 7 0.790552
7 6.14459 8 0.784517
7 6.14459 9 0.645472
7 6.14459 10 0.590216
7 6.14459 11 0.532709
7 6.14459 12 0.51209
7 6.14459 13 0.501646
7 6.14459 14 0.484033
7 6.14459 15 0.348305
7 6.14459 16 0.337091
7 6.14459 17 0.306139
7 6.14459 18 0.267769
7 6.14459 19 0.252102
7 6.14459 20 0.242451
7 6.14459 21 0.234595
7 6.14459 22 0.217551
7 6.14459 23 0.213493
7 6.14459 24 0.192692
7 6.14459 25 0.167987
7 6.14459 26 0.155595
7 6.14459 27 0.147061
7 6.14459 28 0.145823
7 6.14459 29 0.142367
7 6.14459 30 0.13491
7 6.14459 31 0.133956
7 6.14459 32 0.121707
7 6.14459 33 0.120795
7 6.14459 34 0.119682
7 6.14459 35 0.119145
8 7.34393 1 1.99254e+07
8 7.34393 2 2.57227
8 7.34393 3 2.1359
8 7.34393 4 1.97724
8 7.34393 5 1.37973
8 7.34393 6 0.846286
8 7.34393 7 0.840346
8 7.34393 8 0.833931
8 7.34393 9 0.686129
8 7.34393 10 0.627391
8 7.34393 11 0.566264
8 7.34393 12 0.544344
8 7.34393 13 0.533242
8 7.34393 14 0.514521
8 7.34393 15 0.370243
8 7.34393 16 0.358324
8 7.34393 17 0.325422
8 7.34393 18 0.284635
8 7.34393 19 0.267981
8 7.34393 20 0.257722
8 7.34393 21 0.249371
8 7.34393 22 0.231254
8 7.34393 23 0.22694
8 7.34393 24 0.204829
8 7.34393 25 0.178568
8 7.34393 26 0.165395
8 7.34393 27 0.156324
8 7.34393 28 0.155007
8 7.34393 29 0.151334
8 7.34393 30 0.143408
8 7.34393 31 0.142394
8 7.34393 32 0.129373
8 7.34393 33 0.128404
8 7.34393 34 0.12722
8 7.34393 35 0.12665
8 7.34393 36 0.114074
8 7.34393 37 0.113392
8 7.34393 38 0.110784
8 7.34393 39 0.110253
8 7.34393 40 0.110228
8 7.34393 41 0.11
9 8.79509 1 1.81642e+07
9 8.79509 2 2.34491
9 8.79509 3 1.94714
9 8.79509 4 1.8025
9 8.79509 5 1.25779
9 8.79509 6 0.771493
9 8.79509 7 0.766067
9 8.79509 8 0.760219
9 8.79509 9 0.625487
9 8.79509 10 0.571935
9 8.79509 11 0.516218
9 8.79509 12 0.496229
9 8.79509 13 0.486108
9 8.79509 14 0.469041
9 8.79509 15 0.337517
9 8.79509 16 0.326655
9 8.79509 17 0.296662
9 8.79509 18 0.259476
9 8.79509 19 0.244294
9 8.79509 20 0.234942
9 8.79509 21 0.227329
9 8.79509 22 0.210813
9 8.79509 23 0.20688
9 8.79509 24 0.186726
9 8.79509 25 0.162784
9 8.79509 26 0.150777
9 8.79509 27 0.142508
9 8.79509 28 0.141306
9 8.79509 29 0.137958
9 8.79509 30 0.130732
9 8.79509 31 0.129809
9 8.79509 32 0.117939
9 8.79509 33 0.117056
9 8.79509 34 0.115975
9 8.79509 35 0.115455
9 8.79509 36 0.10399
9 8.79509 37 0.103369
9 8.79509 38 0.100992
9 8.79509 39 0.100508
9 8.79509 40 0.100487
9 8.79509 41 0.100277
9 8.79509 42 0.102292
10 9.79509 1 1.66144e+07
10 9.79509 2 2.14484
10 9.79509 3 1.78107
10 9.79509 4 1.64877
10 9.79509 5 1.1505
10 9.79509 6 0.705691
10 9.79509 7 0.700706
10 9.79509 8 0.695357
10 9.79509 9 0.572133
10 9.79509 10 0.523138
10 9.79509 11 0.472189
10 9.79509 12 0.453891
10 9.79509 13 0.444634
10 9.79509 14 0.429023
10 9.79509 15 0.30872
10 9.79509 16 0.298792
10 9.79509 17 0.271358
10 9.79509 18 0.237337
10 9.79509 19 0.223451
10 9.79509 20 0.214897
10 9.79509 21 0.207933
10 9.79509 22 0.192826
10 9.79509 23 0.189229
10 9.79509 24 0.170798
10 9.79509 25 0.148895
10 9.79509 26 0.137916
10 9.79509 27 0.130353
10 9.79509 28 0.12925
10 9.79509 29 0.126187
10 9.79509 30 0.119578
10 9.79509 31 0.118738
10 9.79509 32 0.107879
10 9.79509 33 0.107071
10 9.79509 34 0.10608
10 9.79509 35 0.105604
11 10.6233 1 1.53611e+07
11 10.6233 2 1.98304
11 10.6233 3 1.64682
11 10.6233 4 1.52449
11 10.6233 5 1.06377
11 10.6233 6 0.652495
11 10.6233 7 0.647847
11 10.6233 8 0.642901
11 10.6233 9 0.528994
11 10.6233 10 0.483674
11 10.6233 11 0.436595
11 10.6233 12 0.419651
11 10.6233 13 0.411092
11 10.6233 14 0.396659
11 10.6233 15 0.285431
11 10.6233 16 0.276265
11 10.6233 17 0.2509
11 10.6233 18 0.219433
11 10.6233 19 0.206594
11 10.6233 20 0.198686
11 10.6233 21 0.192247
11 10.6233 22 0.17828
11 10.6233 23 0.174954
11 10.6233 24 0.15792
11 10.6233 25 0.137663
11 10.6233 26 0.127518
11 10.6233 27 0.120526
11 10.6233 28 0.1195
11 10.6233 29 0.116668
11 10.6233 30 0.110557
11 10.6233 31 0.109788
11 10.6233 43 0.11
12 11.6233 1 1.39402e+07
12 11.6233 2 1.79961
12 11.6233 3 1.49478
12 11.6233 4 1.38374
12 11.6233 5 0.965514
12 11.6233 6 0.592241
12 11.6233 7 0.587921
12 11.6233 8 0.583432
12 11.6233 9 0.480116
12 11.6233 10 0.438934
12 11.6233 11 0.396278
12 11.6233 12 0.380832
12 11.6233 13 0.373065
12 11.6233 14 0.359967
12 11.6233 15 0.259028
12 11.6233 16 0.250744
12 11.6233 17 0.227726
12 11.6233 18 0.199136
12 11.6233 19 0.187484
12 11.6233 20 0.180307
12 11.6233 21 0.174464
12 11.6233 22 0.161789
12 11.6233 23 0.158771
12 11.6233 24 0.143329
12 11.6233 25 0.124929
12 11.6233 26 0.115738
12 11.6233 27 0.109394
12 11.6233 28 0.108446
12 11.6233 29 0.105876
12 11.6233 30 0.10033
13 12.6233 1 1.26352e+07
13 12.6233 2 1.63114
13 12.6233 3 1.35552
13 12.6233 4 1.25483
13 12.6233 5 0.875469
13 12.6233 6 0.53704
13 12.6233 7 0.532882
13 12.6233 8 0.528814
13 12.6233 9 0.4353
13 12.6233 10 0.397843
13 12.6233 11 0.359342
13 12.6233 12 0.345181
13 12.6233 13 0.338141
13 12.6233 14 0.326269
13 12.6233 15 0.234779
13 12.6233 16 0.22735
13 12.6233 17 0.206488
13 12.6233 18 0.180494
13 12.6233 19 0.169933
13 12.6233 20 0.163427
13 12.6233 21 0.158132
13 12.6233 22 0.146643
13 12.6233 23 0.143908
13 12.6233 24 0.12995
13 12.6233 25 0.113234
13 12.6233 26 0.10494
14 13.6233 1 1.1445e+07
14 13.6233 2 1.47749
14 13.6233 3 1.22942
14 13.6233 4 1.1381
14 13.6233 5 0.793805
14 13.6233 6 0.487019
14 13.6233 7 0.482686
14 13.6233 8 0.479002
14 13.6233 9 0.394599
14 13.6233 10 0.360367
14 13.6233 11 0.325873
14 13.6233 12 0.312666
14 13.6233 13 0.306289
14 13.6233 14 0.295536
14 13.6233 15 0.212664
14 13.6233 16 0.206121
14 13.6233 17 0.187227
14 13.6233 18 0.163492
14 13.6233 19 0.153926
14 13.6233 20 0.148033
14 13.6233 21 0.143236
14 13.6233 22 0.13283
14 13.6233 23 0.130352
14 13.6233 24 0.117799
14 13.6233 25 0.102568
15 14.6233 1 1.03621e+07
15 14.6233 2 1.3377
15 14.6233 3 1.11683
15 14.6233 4 1.03387
15 14.6233 5 0.72058
15 14.6233 6 0.442268
15 14.6233 7 0.437019
15 14.6233 8 0.433683
15 14.6233 9 0.357976
15 14.6233 10 0.326273
15 14.6233 11 0.295929
15 14.6233 12 0.283084
15 14.6233 13 0.277311
15 14.6233 14 0.267575
15 14.6233 15 0.192544
15 14.6233 16 0.187056
15 14.6233 17 0.169956
15 14.6233 18 0.148023
15 14.6233 19 0.139363
15 14.6233 20 0.134028
15 14.6233 21 0.129684
15 14.6233 22 0.120263
15 14.6233 23 0.118019
15 14.6233 24 0.106866
16 15.6233 1 9.37621e+06
16 15.6233 2 1.21042
16 15.6233 3 1.01925
16 15.6233 4 0.943538
16 15.6233 5 0.656394
16 15.6233 6 0.40328
16 15.6233 7 0.395438
16 15.6233 8 0.392419
16 15.6233 9 0.325569
16 15.6233 10 0.295229
16 15.6233 11 0.269842
16 15.6233 12 0.256149
16 15.6233 13 0.250925
16 15.6233 14 0.242116
16 15.6233 15 0.174224
16 15.6233 16 0.170274
16 15.6233 17 0.154817
16 15.6233 18 0.133939
16 15.6233 19 0.126103
16 15.6233 20 0.121275
16 15.6233 21 0.117345
16 15.6233 22 0.10882
16 15.6233 23 0.10679
17 16.5253 1 8.55912e+06
17 16.5253 2 1.10494
17 16.5253 3 0.94788
17 16.5253 4 0.877471
17 16.5253 5 0.607961
17 16.5253 6 0.374345
17 16.5253 7 0.360977
17 16.5253 8 0.358222
17 16.5253 9 0.300503
17 16.5253 10 0.269501
17 16.5253 11 0.25048
17 16.5253 12 0.233827
17 16.5253 13 0.229058
17 16.5253 14 0.221016
17 16.5253 15 0.159041
17 16.5253 16 0.15747
17 16.5253 17 0.143394
17 16.5253 18 0.122267
17 16.5253 19 0.115113
17 16.5253 20 0.110707
17 16.5253 21 0.107119
18 17.5253 1 7.71585e+06
18 17.5253 2 0.996077
18 17.5253 3 0.896536
18 17.5253 4 0.829941
18 17.5253 5 0.56904
18 17.5253 6 0.352371
18 17.5253 7 0.325413
18 17.5253 8 0.322928
18 17.5253 9 0.278756
18 17.5253 10 0.242949
18 17.5253 11 0.235777
18 17.5253 12 0.21079
18 17.5253 13 0.206491
18 17.5253 14 0.199241
18 17.5253 15 0.143372
18 17.5253 16 0.146809
18 17.5253 17 0.134214
18 17.5253 18 0.110221
18 17.5253 19 0.103772
19 18.5253 1 6.91633e+06
19 18.5253 2 0.892864
19 18.5253 3 0.894153
19 18.5253 4 0.827735
19 18.5253 5 0.554506
19 18.5253 6 0.347712
19 18.5253 7 0.291693
19 18.5253 8 0.289467
19 18.5253 9 0.266289
19 18.5253 10 0.217774
19 18.5253 11 0.23266
19 18.5253 12 0.188948
19 18.5253 13 0.185094
19 18.5253 14 0.178596
19 18.5253 15 0.128515
19 18.5253 16 0.141815
19 18.5253 17 0.130786
20 19.0602 1 6.49987e+06
20 19.0602 2 0.839101
20 19.0602 3 0.923109
20 19.0602 4 0.85454
20 19.0602 5 0.560898
20 19.0602 6 0.355629
20 19.0602 7 0.274129
20 19.0602 8 0.272037
20 19.0602 9 0.264688
20 19.0602 10 0.204661
20 19.0602 11 0.237957
20 19.0602 12 0.177571
20 19.0602 13 0.173949
20 19.0602 14 0.167842
20 19.0602 15 0.120777
20 19.0602 16 0.142351
20 19.0602 17 0.132294
21 20.1439 1 5.68818e+06
21 20.1439 2 0.734316
21 20.1439 3 1.05149
21 20.1439 4 0.973384
21 20.1439 5 0.60344
21 20.1439 6 0.394621
21 20.1439 7 0.239897
21 20.1439 8 0.238065
21 20.1439 9 0.271143
21 20.1439 10 0.179104
21 20.1439 11 0.264047
21 20.1439 12 0.155396
21 20.1439 13 0.152226
21 20.1439 14 0.146882
21 20.1439 15 0.105695
21 20.1439 16 0.149884
21 20.1439 17 0.142328
22 21.3768 1 4.849e+06
22 21.3768 2 0.625982
22 21.3768 3 1.30091
22 21.3768 4 1.20428
22 21.3768 5 0.688855
22 21.3768 6 0.470553
22 21.3768 7 0.204505
22 21.3768 8 0.202943
22 21.3768 9 0.288839
22 21.3768 10 0.152681
22 21.3768 11 0.314855
22 21.3768 12 0.13247
22 21.3768 13 0.129769
22 21.3768 14 0.125213
22 21.3768 16 0.16598
22 21.3768 17 0.162473
23 22.3768 1 4.25062e+06
23 22.3768 2 0.548734
23 22.3768 3 1.57132
23 22.3768 4 1.4546
23 22.3768 5 0.776449
23 22.3768 6 0.55064
23 22.3768 7 0.179268
23 22.3768 8 0.177899
23 22.3768 9 0.306769
23 22.3768 10 0.133839
23 22.3768 11 0.368442
23 22.3768 12 0.116123
23 22.3768 13 0.113755
23 22.3768 14 0.109761
23 22.3768 16 0.182263
23 22.3768 17 0.183133
24 23.3315 1 3.74696e+06
24 23.3315 2 0.483714
24 23.3315 3 1.88574
24 23.3315 4 1.74566
24 23.3315 5 0.871792
24 23.3315 6 0.640969
24 23.3315 7 0.158026
24 23.3315 8 0.15682
24 23.3315 9 0.325271
24 23.3315 10 0.117981
24 23.3315 11 0.428883
24 23.3315 12 0.102364
24 23.3315 13 0.100276
24 23.3315 16 0.199562
24 23.3315 17 0.205621
25 24.0107 1 3.42517e+06
25 24.0107 2 0.442173
25 24.0107 3 2.14691
25 24.0107 4 1.98744
25 24.0107 5 0.946622
25 24.0107 6 0.714081
25 24.0107 7 0.144455
25 24.0107 8 0.143352
