timesOfRecord time label Pdensity Pfit
1 1 1 173669 0.656935
2 2 1 455128 0.589255
3 2.34402 1 686955 0.506675
4 3.02983 1 1.58858e+06 0.498147
4 3.02983 2 0.205078 0.498147
4 3.02983 3 0.170286 0.498147
4 3.02983 4 0.157637 0.498147
4 3.02983 5 0.11 0.498147
5 4.17458 1 5.91988e+06 0.477446
5 4.17458 2 0.764227 0.477446
5 4.17458 3 0.634576 0.477446
5 4.17458 4 0.587439 0.477446
5 4.17458 5 0.409917 0.477446
5 4.17458 6 0.251432 0.477446
5 4.17458 7 0.249669 0.477446
5 4.17458 8 0.247763 0.477446
5 4.17458 9 0.20385 0.477446
5 4.17458 10 0.186399 0.477446
5 4.17458 11 0.168237 0.477446
5 4.17458 12 0.161726 0.477446
5 4.17458 13 0.158427 0.477446
5 4.17458 14 0.152865 0.477446
5 4.17458 15 0.11 0.477446
6 5.04527 1 1.22743e+07 0.484006
6 5.04527 2 1.58455 0.484006
6 5.04527 3 1.31573 0.484007
6 5.04527 4 1.218 0.484007
6 5.04527 5 0.849924 0.484007
6 5.04527 6 0.521319 0.484007
6 5.04527 7 0.517663 0.484006
6 5.04527 8 0.513711 0.484006
6 5.04527 9 0.422662 0.484007
6 5.04527 10 0.386481 0.484006
6 5.04527 11 0.348823 0.484007
6 5.04527 12 0.335322 0.484006
6 5.04527 13 0.328483 0.484006
6 5.04527 14 0.316951 0.484006
6 5.04527 15 0.228074 0.484006
6 5.04527 16 0.220731 0.484007
6 5.04527 17 0.200463 0.484007
6 5.04527 18 0.175339 0.484006
6 5.04527 19 0.165079 0.484006
6 5.04527 20 0.15876 0.484006
6 5.04527 21 0.153615 0.484006
6 5.04527 22 0.142455 0.484006
6 5.04527 23 0.139798 0.484006
6 5.04527 24 0.126177 0.484007
6 5.04527 25 0.11 0.484006
7 6.14459 1 1.87448e+07 0.407815
7 6.14459 2 2.41986 0.407815
7 6.14459 3 2.00933 0.407818
7 6.14459 4 1.86008 0.407818
7 6.14459 5 1.29797 0.407817
7 6.14459 6 0.796137 0.407817
7 6.14459 7 0.790552 0.407815
7 6.14459 8 0.784517 0.407815
7 6.14459 9 0.645472 0.407816
7 6.14459 10 0.590216 0.407815
7 6.14459 11 0.532709 0.407817
7 6.14459 12 0.51209 0.407815
7 6.14459 13 0.501646 0.407815
7 6.14459 14 0.484033 0.407815
7 6.14459 15 0.348305 0.407815
7 6.14459 16 0.337091 0.407817
7 6.14459 17 0.306139 0.407817
7 6.14459 18 0.267769 0.407815
7 6.14459 19 0.252102 0.407815
7 6.14459 20 0.242451 0.407815
7 6.14459 21 0.234595 0.407815
7 6.14459 22 0.217551 0.407815
7 6.14459 23 0.213493 0.407815
7 6.14459 24 0.192692 0.407816
7 6.14459 25 0.167987 0.407815
7 6.14459 26 0.155595 0.407817
7 6.14459 27 0.147061 0.407817
7 6.14459 28 0.145823 0.407815
7 6.14459 29 0.142367 0.407815
7 6.14459 30 0.13491 0.407815
7 6.14459 31 0.133956 0.407818
7 6.14459 32 0.121707 0.407816
7 6.14459 33 0.120795 0.407817
7 6.14459 34 0.119682 0.407815
7 6.14459 35 0.119145 0.407815
8 7.34393 1 1.99254e+07 0.32936
8 7.34393 2 2.57227 0.32936
8 7.34393 3 2.1359 0.329387
8 7.34393 4 1.97724 0.329387
8 7.34393 5 1.37973 0.329381
8 7.34393 6 0.846286 0.329384
8 7.34393 7 0.840346 0.32936
8 7.34393 8 0.833931 0.32936
8 7.34393 9 0.686129 0.329376
8 7.34393 10 0.627391 0.32936
8 7.34393 11 0.566264 0.329384
8 7.34393 12 0.544344 0.32936
8 7.34393 13 0.533242 0.32936
8 7.34393 14 0.514521 0.32936
8 7.34393 15 0.370243 0.32936
8 7.34393 16 0.358324 0.329379
8 7.34393 17 0.325422 0.329381
8 7.34393 18 0.284635 0.32936
8 7.34393 19 0.267981 0.32936
8 7.34393 20 0.257722 0.32936
8 7.34393 21 0.249371 0.32936
8 7.34393 22 0.231254 0.32936
8 7.34393 23 0.22694 0.32936
8 7.34393 24 0.204829 0.329376
8 7.34393 25 0.178568 0.32936
8 7.34393 26 0.165395 0.329379
8 7.34393 27 0.156324 0.329381
8 7.34393 28 0.155007 0.32936
8 7.34393 29 0.151334 0.32936
8 7.34393 30 0.143408 0.32936
8 7.34393 31 0.142394 0.329387
8 7.34393 32 0.129373 0.329376
8 7.34393 33 0.128404 0.329379
8 7.34393 34 0.12722 0.32936
8 7.34393 35 0.12665 0.32936
8 7.34393 36 0.114074 0.32936
8 7.34393 37 0.113392 0.32936
8 7.34393 38 0.110784 0.32936
8 7.34393 39 0.110253 0.32936
8 7.34393 40 0.110228 0.329387
8 7.34393 41 0.11 0.32936
9 8.79509 1 1.81642e+07 0.274744
9 8.79509 2 2.34491 0.274744
9 8.79509 3 1.94714 0.275106
9 8.79509 4 1.8025 0.275106
9 8.79509 5 1.25779 0.275027
9 8.79509 6 0.771493 0.27507
9 8.79509 7 0.766067 0.274744
9 8.79509 8 0.760219 0.274744
9 8.79509 9 0.625487 0.274959
9 8.79509 10 0.571935 0.274744
9 8.79509 11 0.516218 0.27507
9 8.79509 12 0.496229 0.274744
9 8.79509 13 0.486108 0.274744
9 8.79509 14 0.469041 0.274744
9 8.79509 15 0.337517 0.274744
9 8.79509 16 0.326655 0.274997
9 8.79509 17 0.296662 0.275027
9 8.79509 18 0.259476 0.274744
9 8.79509 19 0.244294 0.274744
9 8.79509 20 0.234942 0.274744
9 8.79509 21 0.227329 0.274744
9 8.79509 22 0.210813 0.274744
9 8.79509 23 0.20688 0.274744
9 8.79509 24 0.186726 0.274959
9 8.79509 25 0.162784 0.274744
9 8.79509 26 0.150777 0.274997
9 8.79509 27 0.142508 0.275027
9 8.79509 28 0.141306 0.274744
9 8.79509 29 0.137958 0.274744
9 8.79509 30 0.130732 0.274744
9 8.79509 31 0.129809 0.275106
9 8.79509 32 0.117939 0.274959
9 8.79509 33 0.117056 0.274997
9 8.79509 34 0.115975 0.274744
9 8.79509 35 0.115455 0.274744
9 8.79509 36 0.10399 0.274744
9 8.79509 37 0.103369 0.274744
9 8.79509 38 0.100992 0.274744
9 8.79509 39 0.100508 0.274744
9 8.79509 40 0.100487 0.275106
9 8.79509 41 0.100277 0.274744
9 8.79509 42 0.102292 0.274744
10 9.79509 1 1.66144e+07 0.307869
10 9.79509 2 2.14484 0.307869
10 9.79509 3 1.78107 0.310165
10 9.79509 4 1.64877 0.310165
10 9.79509 5 1.1505 0.309663
10 9.79509 6 0.705691 0.309934
10 9.79509 7 0.700706 0.307869
10 9.79509 8 0.695357 0.307869
10 9.79509 9 0.572133 0.309235
10 9.79509 10 0.523138 0.307869
10 9.79509 11 0.472189 0.309934
10 9.79509 12 0.453891 0.307869
10 9.79509 13 0.444634 0.307869
10 9.79509 14 0.429023 0.307869
10 9.79509 15 0.30872 0.307869
10 9.79509 16 0.298792 0.309475
10 9.79509 17 0.271358 0.309663
10 9.79509 18 0.237337 0.307869
10 9.79509 19 0.223451 0.307869
10 9.79509 20 0.214897 0.307869
10 9.79509 21 0.207933 0.307869
10 9.79509 22 0.192826 0.307869
10 9.79509 23 0.189229 0.307869
10 9.79509 24 0.170798 0.309235
10 9.79509 25 0.148895 0.307869
10 9.79509 26 0.137916 0.309475
10 9.79509 27 0.130353 0.309663
10 9.79509 28 0.12925 0.307869
10 9.79509 29 0.126187 0.307869
10 9.79509 30 0.119578 0.307869
10 9.79509 31 0.118738 0.310165
10 9.79509 32 0.107879 0.309235
10 9.79509 33 0.107071 0.309475
10 9.79509 34 0.10608 0.307869
10 9.79509 35 0.105604 0.307869
11 10.6233 1 1.53611e+07 0.347483
11 10.6233 2 1.98304 0.347483
11 10.6233 3 1.64682 0.357071
11 10.6233 4 1.52449 0.357071
11 10.6233 5 1.06377 0.354977
11 10.6233 6 0.652495 0.35611
11 10.6233 7 0.647847 0.347483
11 10.6233 8 0.642901 0.347483
11 10.6233 9 0.528994 0.353187
11 10.6233 10 0.483674 0.347483
11 10.6233 11 0.436595 0.35611
11 10.6233 12 0.419651 0.347483
11 10.6233 13 0.411092 0.347483
11 10.6233 14 0.396659 0.347483
11 10.6233 15 0.285431 0.347483
11 10.6233 16 0.276265 0.354189
11 10.6233 17 0.2509 0.354977
11 10.6233 18 0.219433 0.347483
11 10.6233 19 0.206594 0.347483
11 10.6233 20 0.198686 0.347483
11 10.6233 21 0.192247 0.347483
11 10.6233 22 0.17828 0.347483
11 10.6233 23 0.174954 0.347483
11 10.6233 24 0.15792 0.353187
11 10.6233 25 0.137663 0.347483
11 10.6233 26 0.127518 0.354189
11 10.6233 27 0.120526 0.354977
11 10.6233 28 0.1195 0.347483
11 10.6233 29 0.116668 0.347483
