timesOfRecord time Db Dp Bdensity Pdensity effDb effDp PDI
1 1 1 1 191490 173669 2.31716 2.48317 0
2 2 1 1 274711 455128 2.88 1.90877 0
3 2.34402 2 1 282145 686955 3.8953 2.764 0
4 3.02983 2 5 282318 1.58858e+06 4.02982 2.88254 0
5 4.17458 4 15 232083 5.91989e+06 4.38684 2.95699 1.90908e-12
6 5.04527 7 25 149477 1.22743e+07 4.26872 3.76234 3.30456e-11
7 6.14459 7 35 53569.6 1.87448e+07 6.01277 3.69887 1.09076e-09
8 7.34393 7 41 13763.2 1.99254e+07 9.21845 3.99174 1.28498e-07
9 8.79509 7 42 3244.22 1.81642e+07 13.2477 4.3071 3.3907e-05
10 9.79509 7 35 1520.13 1.66144e+07 10.548 4.38182 0.0010198
11 10.6233 7 32 989.343 1.53611e+07 8.25635 4.33303 0.0116576
12 11.6233 7 30 839.82 1.39402e+07 11.0271 4.41812 0.108224
13 12.6233 7 26 1165.97 1.26352e+07 16.0557 4.42381 0.375913
14 13.6233 7 25 2337.12 1.1445e+07 15.3298 4.42679 0.625246
15 14.6233 7 24 5507.4 1.03622e+07 12.9149 4.42892 0.747385
16 15.6233 7 23 13627.9 9.37622e+06 11.9538 4.43168 0.795576
17 16.5253 8 21 30848.3 8.55913e+06 12.3544 4.39098 0.813186
18 17.5253 8 19 72822.9 7.71585e+06 11.9282 4.44912 0.821496
19 18.5253 8 17 152532 6.91634e+06 12.792 4.47576 0.825104
20 19.0602 10 17 199417 6.49988e+06 18.3897 4.25072 0.826158
21 20.1439 14 17 279425 5.68818e+06 22.9207 4.0772 0.827358
22 21.3768 17 16 311676 4.84901e+06 21.8701 4.48882 0.827977
23 22.3768 17 16 316146 4.25062e+06 23.0251 4.58293 0.828223
24 23.3315 18 15 316200 3.74697e+06 23.3464 4.55576 0.828357
25 24.0107 19 13 316208 3.42518e+06 23.348 4.38464 0.828419
26 25.9928 20 12 316221 2.63523e+06 23.3455 4.58607 0.828517
27 26.883 20 10 316223 2.34233e+06 23.345 4.51588 0.828541
28 27.7324 21 10 316225 2.09328e+06 23.3446 4.49012 0.828557
29 28.7324 21 10 316226 1.83367e+06 23.3443 4.58642 0.82857
30 29.9176 22 10 316226 1.56734e+06 23.344 4.58652 0.828581
31 30.9176 22 10 316227 1.37293e+06 23.3438 4.58659 0.828587
32 31.9131 23 10 316227 1.20336e+06 23.3437 4.58374 0.828591
33 32.9131 23 10 316227 1.05409e+06 23.3436 4.58676 0.828592
34 33.9131 23 10 316227 923339 23.3435 4.58686 0.828592
35 34.9131 23 10 316227 808807 23.3434 4.58699 0.82859
36 35.9131 23 9 316227 708484 23.3434 4.58717 0.828586
37 36.9131 23 9 316227 620608 23.3433 4.58739 0.828579
38 37.9131 23 9 316227 543637 23.3433 4.5877 0.828569
39 38.9131 23 9 316227 476218 23.3433 4.58811 0.828553
40 39.9131 23 9 316227 417167 23.3433 4.58868 0.828532
41 40.1656 24 9 316227 403473 23.3433 4.1393 0.828525
42 41.1656 24 9 316227 353454 23.3433 4.58968 0.828493
43 42.4186 25 9 316227 299465 23.3433 4.59117 0.828434
44 43.047 26 9 316227 275598 23.3433 4.36006 0.828394
45 44.047 26 9 316226 241470 23.3434 4.59422 0.828311
46 45.047 26 9 316226 211587 23.3434 4.59703 0.828198
47 46.047 26 9 316226 185428 23.3434 4.60089 0.828042
48 47.047 26 9 316225 162532 23.3435 4.60618 0.827827
49 48.047 26 9 316225 142499 23.3435 4.61344 0.827533
50 49.047 26 9 316224 124977 23.3436 4.62342 0.82713
51 50.047 26 9 316224 109662 23.3437 4.63712 0.826578
52 51.047 26 9 316223 96285.2 23.3439 4.65595 0.825821
53 52.047 26 9 316222 84614.4 23.344 4.68184 0.824787
54 53.047 26 9 316221 74447.6 23.3442 4.71747 0.823375
55 54.047 26 9 316219 65609.6 23.3445 4.76653 0.821454
56 55.047 26 9 316218 57949.4 23.3447 4.83413 0.818849
57 56.047 26 9 316216 51337.6 23.3451 4.92734 0.815336
58 57.047 26 9 316213 45664.2 23.3455 5.05598 0.810631
59 58.047 26 9 316210 40837.1 23.346 5.23362 0.804387
60 59.047 26 9 316206 36780.4 23.3466 5.47893 0.796204
61 60.047 26 9 316202 33433.9 23.3474 5.81722 0.785654
62 61.047 26 9 316197 30751.7 23.3483 6.28158 0.772337
63 62.047 26 9 316190 28702.6 23.3494 6.91204 0.755967
64 63.047 26 9 316183 27269.2 23.3507 7.74805 0.736489
65 64.047 26 9 316174 26449.1 23.3522 8.80574 0.714195
66 65.047 26 9 316162 26254.6 23.3541 10.0303 0.689783
67 66.047 26 9 316149 26714.5 23.3564 11.2379 0.664318
68 67.047 26 9 316133 27874.7 23.3591 12.125 0.639071
69 68.047 26 9 316114 29800.7 23.3624 12.4341 0.615283
70 69.047 26 9 316091 32578.8 23.3663 12.155 0.593933
71 70.047 26 9 316063 36319.3 23.3709 11.5071 0.575615
72 71.047 26 9 316030 41159.1 23.3765 10.7457 0.560528
73 72.047 26 9 315990 47264.3 23.3831 10.0344 0.548556
74 73.6576 27 9 315910 60281.6 23.3966 9.1387 0.535013
75 74.6576 27 9 315848 70719 23.4062 8.73998 0.529547
76 75.6576 27 9 315775 83311.8 23.4178 8.43996 0.525883
77 76.0317 27 10 315753 88647.1 23.4184 9.20008 0.524908
78 77.0317 27 10 315653 104754 23.4372 8.15175 0.523217
79 78.0317 27 10 315547 123866 23.4523 8.01005 0.522687
80 79.2242 27 11 315398 151156 23.474 7.89655 0.523356
81 80.2242 27 11 315254 178296 23.4925 7.83781 0.524887
82 81.2242 27 11 315090 209751 23.5127 7.80582 0.527242
83 82.2242 27 11 314908 245877 23.5328 7.79667 0.530392
84 83.2242 27 11 314707 286943 23.5518 7.80792 0.534332
85 84.2242 27 11 314490 333081 23.5678 7.8383 0.539067
86 85.2242 27 11 314260 384230 23.5786 7.88747 0.544597
87 86.271 27 13 314041 442839 23.5761 8.24421 0.551236
88 87.5069 27 14 313720 517692 23.5712 8.07335 0.560136
89 88.5069 27 14 313494 581586 23.5404 8.19025 0.568099
90 89.5069 27 14 313288 647122 23.4945 8.33155 0.576627
91 90.0684 29 14 313215 684097 23.4494 8.97323 0.581607
92 91.0684 29 14 313022 749221 23.384 8.60828 0.590687
93 92.9076 29 16 312818 862042 23.1853 9.04081 0.607387
94 93.9076 29 16 312757 917283 23.0498 9.33573 0.615972
95 94.9076 29 16 312724 967168 22.9027 9.68197 0.623838
96 95.1641 30 16 312721 979048 22.8616 10.1585 0.625702
97 96.1641 30 16 312709 1.02196e+06 22.7062 10.2036 0.632262
98 97.1641 30 16 312704 1.05977e+06 22.5456 10.6992 0.637504
99 98.7244 31 16 312679 1.111e+06 22.2987 11.6351 0.642635
100 99.7244 31 16 312636 1.14098e+06 22.1462 12.3411 0.643859
101 100.724 31 16 312564 1.17064e+06 21.9995 13.1165 0.643531
102 101.552 31 17 312485 1.19607e+06 21.8806 13.8484 0.64222
103 102.552 31 17 312346 1.22906e+06 21.7432 14.5891 0.63966
104 103.552 31 17 312185 1.26543e+06 21.6034 15.312 0.636421
105 104.552 31 17 312004 1.30566e+06 21.4596 15.8831 0.632981
106 105.629 30 19 311817 1.35318e+06 21.2919 16.3651 0.629593
107 106.629 30 17 311620 1.40021e+06 21.1274 16.4094 0.627173
108 107.303 31 18 311536 1.43282e+06 20.9969 16.6696 0.626074
109 108.709 31 18 311330 1.50055e+06 20.7218 16.2301 0.625295
110 109.709 31 18 311250 1.54619e+06 20.4959 16.0663 0.625862
111 110.092 31 19 311237 1.56268e+06 20.4027 16.3008 0.626265
112 111.603 32 19 311205 1.62102e+06 20.0361 15.8906 0.628342
113 112.603 32 19 311217 1.65313e+06 19.7831 15.9321 0.62961
114 113.413 33 19 311229 1.67564e+06 19.5794 16.1021 0.630208
115 114.877 35 18 311227 1.71085e+06 19.2184 16.4191 0.629643
116 115.877 35 18 311184 1.73346e+06 18.9812 16.7548 0.627707
117 116.877 34 18 311095 1.75742e+06 18.7506 17.0887 0.624447
118 117.877 34 18 310959 1.78474e+06 18.524 17.3343 0.620042
119 118.076 34 19 310938 1.79074e+06 18.4713 17.5819 0.619055
120 119.163 34 19 310727 1.82698e+06 18.2311 17.3722 0.613335
121 120.163 34 19 310525 1.86564e+06 17.992 17.1128 0.608012
122 121.494 35 18 310303 1.92287e+06 17.6476 16.5124 0.601888
123 122.24 36 18 310193 1.95585e+06 17.4425 15.9848 0.599325
124 123.319 36 18 310089 2.00127e+06 17.1278 15.1163 0.596984
