t 	 Richness 	 Shannon Index 
1 	 1 	 0.000000 	 nan 
2 	 1 	 0.000000 	 nan 
3 	 1 	 0.000000 	 nan 
4 	 1 	 0.000000 	 nan 
5 	 1 	 0.000000 	 nan 
6 	 1 	 0.000000 	 nan 
7 	 1 	 0.000000 	 nan 
8 	 1 	 0.000000 	 nan 
9 	 1 	 0.000000 	 nan 
10 	 2 	 0.000730 	 0.001053 
11 	 1 	 0.000000 	 nan 
12 	 1 	 0.000000 	 nan 
13 	 1 	 0.000000 	 nan 
14 	 1 	 0.000000 	 nan 
15 	 1 	 0.000000 	 nan 
16 	 1 	 0.000000 	 nan 
17 	 1 	 0.000000 	 nan 
18 	 1 	 0.000000 	 nan 
19 	 1 	 0.000000 	 nan 
20 	 1 	 0.000000 	 nan 
21 	 1 	 0.000000 	 nan 
22 	 1 	 0.000000 	 nan 
23 	 1 	 0.000000 	 nan 
24 	 1 	 0.000000 	 nan 
25 	 2 	 0.000044 	 0.000063 
26 	 2 	 0.000044 	 0.000064 
27 	 2 	 0.000046 	 0.000067 
28 	 2 	 0.000048 	 0.000069 
29 	 2 	 0.000051 	 0.000073 
30 	 2 	 0.000053 	 0.000077 
31 	 2 	 0.000087 	 0.000125 
32 	 2 	 0.000088 	 0.000127 
33 	 1 	 0.000000 	 nan 
34 	 1 	 0.000000 	 nan 
35 	 1 	 0.000000 	 nan 
36 	 1 	 0.000000 	 nan 
37 	 1 	 0.000000 	 nan 
38 	 1 	 0.000000 	 nan 
39 	 1 	 0.000000 	 nan 
40 	 1 	 0.000000 	 nan 
41 	 1 	 0.000000 	 nan 
42 	 1 	 0.000000 	 nan 
43 	 1 	 0.000000 	 nan 
44 	 1 	 0.000000 	 nan 
45 	 1 	 0.000000 	 nan 
46 	 1 	 0.000000 	 nan 
47 	 1 	 0.000000 	 nan 
48 	 1 	 0.000000 	 nan 
49 	 1 	 0.000000 	 nan 
50 	 2 	 0.000038 	 0.000055 
51 	 2 	 0.000042 	 0.000061 
52 	 2 	 0.000055 	 0.000079 
53 	 1 	 0.000000 	 nan 
54 	 1 	 0.000000 	 nan 
55 	 1 	 0.000000 	 nan 
56 	 1 	 0.000000 	 nan 
57 	 1 	 0.000000 	 nan 
58 	 1 	 0.000000 	 nan 
59 	 1 	 0.000000 	 nan 
60 	 1 	 0.000000 	 nan 
61 	 1 	 0.000000 	 nan 
62 	 1 	 0.000000 	 nan 
63 	 1 	 0.000000 	 nan 
64 	 1 	 0.000000 	 nan 
65 	 1 	 0.000000 	 nan 
66 	 2 	 0.000058 	 0.000084 
67 	 2 	 0.000061 	 0.000088 
68 	 2 	 0.000062 	 0.000090 
69 	 2 	 0.000066 	 0.000095 
70 	 2 	 0.000067 	 0.000097 
71 	 2 	 0.000072 	 0.000104 
72 	 3 	 0.000133 	 0.000121 
73 	 2 	 0.000081 	 0.000117 
74 	 2 	 0.000081 	 0.000117 
75 	 2 	 0.000088 	 0.000126 
76 	 2 	 0.000092 	 0.000133 
77 	 3 	 0.000188 	 0.000171 
78 	 3 	 0.000199 	 0.000181 
79 	 3 	 0.000209 	 0.000190 
80 	 3 	 0.000215 	 0.000195 
81 	 3 	 0.000230 	 0.000209 
82 	 3 	 0.000234 	 0.000213 
83 	 3 	 0.000243 	 0.000221 
84 	 4 	 0.000343 	 0.000247 
85 	 4 	 0.000354 	 0.000256 
86 	 4 	 0.000358 	 0.000258 
87 	 4 	 0.000372 	 0.000268 
88 	 4 	 0.000391 	 0.000282 
89 	 4 	 0.000405 	 0.000292 
90 	 4 	 0.000424 	 0.000306 
91 	 4 	 0.000440 	 0.000317 
92 	 4 	 0.000467 	 0.000337 
93 	 4 	 0.000489 	 0.000353 
94 	 4 	 0.000518 	 0.000374 
95 	 4 	 0.000535 	 0.000386 
96 	 4 	 0.000560 	 0.000404 
97 	 4 	 0.000600 	 0.000433 
98 	 4 	 0.000604 	 0.000436 
99 	 4 	 0.000638 	 0.000460 
100 	 5 	 0.000767 	 0.000476 
101 	 5 	 0.000800 	 0.000497 
102 	 5 	 0.000818 	 0.000508 
103 	 5 	 0.000852 	 0.000529 
104 	 5 	 0.000887 	 0.000551 
105 	 5 	 0.000924 	 0.000574 
106 	 5 	 0.000962 	 0.000598 
107 	 5 	 0.001002 	 0.000622 
108 	 5 	 0.001052 	 0.000654 
109 	 5 	 0.001106 	 0.000687 
110 	 5 	 0.001131 	 0.000702 
111 	 5 	 0.001180 	 0.000733 
112 	 5 	 0.001222 	 0.000759 
113 	 6 	 0.001355 	 0.000756 
114 	 7 	 0.001480 	 0.000761 
115 	 7 	 0.001556 	 0.000800 
116 	 7 	 0.001614 	 0.000830 
117 	 7 	 0.001688 	 0.000867 
118 	 7 	 0.001764 	 0.000906 
119 	 7 	 0.001846 	 0.000949 
120 	 7 	 0.001927 	 0.000990 
121 	 7 	 0.002046 	 0.001051 
122 	 7 	 0.002095 	 0.001077 
123 	 8 	 0.002290 	 0.001101 
124 	 8 	 0.002392 	 0.001150 
125 	 9 	 0.002581 	 0.001175 
126 	 9 	 0.002652 	 0.001207 
127 	 9 	 0.002763 	 0.001258 
128 	 9 	 0.002962 	 0.001348 
129 	 9 	 0.003018 	 0.001373 
130 	 10 	 0.003168 	 0.001376 
131 	 10 	 0.003305 	 0.001435 
132 	 10 	 0.003448 	 0.001497 
133 	 12 	 0.003848 	 0.001548 
134 	 12 	 0.004031 	 0.001622 
135 	 12 	 0.004149 	 0.001670 
136 	 12 	 0.004248 	 0.001709 
137 	 12 	 0.004436 	 0.001785 
138 	 12 	 0.004708 	 0.001895 
139 	 12 	 0.005042 	 0.002029 
140 	 12 	 0.005148 	 0.002072 
