timesOfRecord time Db Dp Bdensity Pdensity effDb effDp PDI
1 0.14939 1 11 108888 1.06075e+06 3.68015 37.7419 0
2 1.14939 1 11 180919 1.86632e+06 2.56596 24.5977 0
3 2.03153 2 18 201808 3.8725e+06 4.00115 37.8398 0
4 3.0006 1 22 166276 8.48488e+06 4.02726 39.4779 0
5 4.03818 1 30 90553 1.47954e+07 4.60658 37.3654 0
6 5.12082 2 38 34010.9 1.82766e+07 5.0703 39.1488 0
7 6.41907 2 40 9745.87 1.82424e+07 7.96917 40.8228 0
8 7.41907 1 40 4208.34 1.70624e+07 10.9949 42.8142 0
9 8.0067 1 40 2782.92 1.62505e+07 5.96011 41.7976 0
10 9.65328 1 31 1149.28 1.39799e+07 6.93084 43.9967 0
11 10.6533 1 29 810.292 1.27044e+07 5.84846 44.1167 0
12 11.6533 1 28 649.083 1.15311e+07 5.05514 44.1737 0
13 12.6533 1 26 583.368 1.04602e+07 4.46329 44.1999 0
14 13.6533 1 25 581.433 9.48709e+06 4.01332 44.2081 0
15 14.6533 1 24 635.825 8.60552e+06 3.66514 44.2027 0
16 15.6533 1 22 755.489 7.80904e+06 3.39151 44.1838 0
17 16.6533 1 19 966.713 7.09182e+06 3.17375 44.1477 0
18 17.3121 1 20 1179.67 6.66035e+06 3.3105 42.6333 0
19 18.3121 1 20 1676.32 6.06483e+06 2.90269 44.0241 0
20 19.3121 1 19 2511.14 5.53989e+06 2.78073 43.8801 0
21 20.3121 1 19 3933.64 5.08727e+06 2.68428 43.6381 0
22 21.3121 1 18 6385.1 4.7142e+06 2.61166 43.2281 0
23 22.3121 1 18 10618.1 4.43736e+06 2.5643 42.5345 0
24 23.3121 1 18 17806.3 4.29005e+06 2.54821 41.3853 0
25 24.3121 1 18 29410.8 4.33535e+06 2.57741 39.5831 0
26 25.2061 1 20 43787.5 4.63091e+06 3.08845 37.9632 0
27 26.0889 1 21 60512.5 5.28096e+06 2.97084 35.2278 0
28 27.143 1 27 74583.9 6.73342e+06 3.87116 37.4747 0
29 28.1077 2 32 74563 8.72449e+06 4.08006 37.2161 0
30 29.0796 2 39 61414.8 1.09902e+07 4.11015 39.2154 0
31 30.3755 1 45 36422.2 1.32357e+07 6.42938 35.2719 0
32 31.2239 1 47 24463.2 1.38137e+07 4.95109 39.3963 0
33 32.1465 2 48 15963.8 1.38046e+07 4.50994 40.1605 0
34 33.4535 1 51 9388.22 1.31236e+07 6.1541 41.7498 0
35 34.1253 1 52 7541.69 1.26194e+07 5.03932 41.6143 0
36 35.39 1 46 5570.8 1.15747e+07 5.09132 42.9281 0
37 36.39 1 45 4851.04 1.07406e+07 4.6155 43.1666 0
38 37.39 1 38 4599.54 9.94223e+06 4.22171 43.2766 0
39 38.39 1 34 4716.58 9.19946e+06 3.90136 43.2948 0
40 39.39 1 32 5190.07 8.52376e+06 3.6434 43.2338 0
41 40.1269 1 33 5797.58 8.07366e+06 3.59183 42.2611 0
42 41.1067 1 33 7031.34 7.54341e+06 3.32893 42.8612 0
43 42.6207 1 32 10277 6.8986e+06 3.27143 41.8444 0
44 43.7085 1 32 14057.4 6.59087e+06 3.0586 41.703 0
45 44.7085 1 30 18964.1 6.45384e+06 3.032 40.8539 0
46 45.9083 1 31 26746.6 6.52707e+06 3.06751 39.5077 0
47 46.032 1 32 27621 6.55304e+06 3.87438 39.8417 0
48 47.032 1 32 35149 6.89922e+06 3.18917 38.0181 0
49 48.2135 1 34 42568.2 7.66805e+06 3.44208 36.5545 0
50 49.2878 2 39 44925.1 8.67946e+06 3.98063 38.3429 0
51 50.0374 2 40 43440.6 9.4776e+06 4.13788 36.7024 0
52 51.0518 2 44 38087.8 1.05072e+07 4.14942 39.199 0
53 52.0415 3 45 31092.6 1.12733e+07 4.45613 38.8309 0
54 53.1705 1 50 23583.9 1.17243e+07 4.55676 39.5128 0
55 54.5102 1 51 16888.4 1.17141e+07 5.20741 40.198 0
56 55.4495 1 53 13805 1.14471e+07 4.78203 40.8393 0
57 56.1881 2 54 12129.1 1.11444e+07 4.23203 40.5237 0
58 57.598 2 51 10239.6 1.04507e+07 4.47783 41.9485 0
59 58.0412 2 49 9936.22 1.0219e+07 4.08949 40.6935 0
60 59.0412 2 46 9644.14 9.69826e+06 4.12216 42.1767 0
61 60.4874 2 43 10117.4 8.99292e+06 3.82981 42.1607 0
62 61.4874 2 39 11048.7 8.56541e+06 3.67004 42.0214 0
63 62.42 2 40 12398.1 8.2273e+06 3.57661 41.6608 0
64 63.3587 2 41 14269.5 7.9582e+06 3.49272 41.364 0
65 64.7783 2 42 18125.2 7.7149e+06 3.39476 40.7794 0
66 65.9796 2 43 22248.8 7.69422e+06 3.39735 40.0256 0
67 66.2256 2 44 23133.9 7.71403e+06 3.84859 39.8974 0
68 67.0056 2 45 26003.2 7.83186e+06 3.57096 39.4005 0
69 68.0056 2 45 29391.3 8.11047e+06 3.55237 38.6378 0
70 69.0571 2 51 31760.7 8.54672e+06 3.92556 39.2871 0
71 70.6825 2 54 32001.4 9.3894e+06 4.04843 37.7645 0
72 71.1185 2 58 31320.1 9.61898e+06 4.04548 39.5598 0
73 72.5703 3 59 27423 1.02737e+07 4.43824 38.351 0
74 73.3609 3 61 24859.1 1.05104e+07 4.2556 39.5014 0
75 74.0047 3 63 22785.8 1.06291e+07 4.31541 39.6381 0
76 75.9356 3 64 17575.3 1.06032e+07 4.57453 40.3018 0
77 76.768 4 64 16035 1.04508e+07 4.39408 40.5855 0
78 77.4008 4 67 15157.6 1.02972e+07 4.14545 40.4001 0
79 78.9739 4 68 13888.7 9.83511e+06 4.19347 41.2442 0
80 79.1158 4 69 13836.9 9.79049e+06 4.01572 40.1826 0
81 80.2216 5 63 13733.9 9.44281e+06 4.02161 41.3426 1.69812e-11
82 81.8287 5 62 14514.1 8.97818e+06 3.83436 41.2589 2.27851e-11
83 82.784 5 61 15469.5 8.74985e+06 3.75783 41.0507 2.6945e-11
84 83.7285 5 59 16749.4 8.57354e+06 3.7013 40.8269 3.1675e-11
85 84.5294 6 58 18057.5 8.46986e+06 3.74781 40.4207 3.62482e-11
86 85.8692 7 57 20599.9 8.40284e+06 3.63376 40.1767 2.19804e-10
87 86.2383 7 58 21327.3 8.40987e+06 3.8663 39.9667 2.33689e-10
88 87.5985 8 58 23948.4 8.53094e+06 3.68852 39.5162 2.93252e-10
89 88.5333 8 59 25425.5 8.6976e+06 3.77288 39.2373 3.4384e-10
90 89.127 8 60 26102.9 8.83291e+06 3.89892 39.3897 3.81133e-10
91 90.147 8 62 26686.1 9.10233e+06 3.95471 39.1793 4.56949e-10
92 91.5948 8 66 26164.2 9.50831e+06 4.06437 39.3031 5.97501e-10
93 92.8863 8 67 24589.6 9.82004e+06 4.21741 39.0504 7.66694e-10
94 93.8863 8 67 22969.6 9.98859e+06 4.29062 39.3279 9.3482e-10
95 94.8863 8 67 21280 1.00774e+07 4.32785 39.6485 1.14302e-09
96 95.6002 8 68 20154.2 1.00906e+07 4.2307 39.9477 1.32035e-09
97 96.6002 8 68 18762.3 1.00463e+07 4.30692 40.1764 1.61553e-09
98 97.803 8 71 17505.9 9.91319e+06 4.21734 40.4364 2.05426e-09
99 98.318 8 72 17117.5 9.83661e+06 4.09654 40.3121 2.27397e-09
100 99.2078 9 74 16654 9.68668e+06 4.08658 40.484 2.70449e-09
101 100.208 9 74 16437.1 9.50416e+06 4.05928 40.7719 3.27431e-09
102 101.463 10 76 16609.8 9.27692e+06 3.96493 40.7806 4.13877e-09
103 102.236 10 76 16941.2 9.14876e+06 3.92957 40.5624 4.76712e-09
104 103.377 10 74 17712.4 8.98918e+06 3.85287 40.6155 5.85196e-09
105 104.446 11 71 18687.1 8.88257e+06 3.81443 40.4446 8.16229e-09
106 105.327 11 72 19617.7 8.83203e+06 3.82207 40.2293 9.5237e-09
107 106.527 11 75 20944.4 8.82236e+06 3.86919 39.9865 1.17407e-08
108 107.286 12 76 21752.8 8.85159e+06 3.92054 39.9036 1.34396e-08
109 108.877 12 78 23145.2 8.99312e+06 3.87302 39.5536 1.77903e-08
